Juelsparken (Byplanvej / Aalborg),851962000,57015314,9933547
Rheastien (Zeusvej / Aalborg),851962400,57009183,9954115
Korevej  (Zeusvej / Aalborg),851962300,57011638,9953368
Da Vinci Parken (Alfred Nobels Vej / Aalborg),851008300,57013274,9967176
Sønder Tranders Bygade (Aalborg),851009400,57009741,9982610
Fjelshøjvej (Sønder Tranders Bygade / Aalborg),851009500,57012105,9980291
Halldor Laxness vej (Alfred Nobels Vej / Aalborg),851008400,57012429,9979707
Broagerstien (Hadsundvej / Gistrup),851008600,57006792,9993901
Pontoppidanstræde (Bertil Ohlins Vej / Aalborg),851991200,57015179,9972354
AAU Kantinen (Bertil Ohlins Vej / Aalborg),851991500,57015296,9975958
Niels Jernes Vej (Fredrik Bajers Vej / Aalborg),851008100,57013633,9984148
Postgårdsvej (Alfred Nobels Vej  / Aalborg),851400800,57011521,9994665
AAU Damstræde (Bertil Ohlins Vej / Aalborg),851991600,57014892,9983150
AAU Kroghstræde (Bertil Ohlins Vej / Aalborg),851008000,57015521,9979096
Mejrupstien (Bertil Ohlins Vej / Aalborg),851992000,57014838,9987447
AAU Busterminal (Sigrid Undsetsvej / Aalborg),851000300,57016123,9991114
Klarup Skolevej (Svinetruget / Klarup),851033600,57007116,10043449
Mellemholm (Aalborg Kommune),851300300,57019674,9718984
Porsheden (Aalborg Kommune),851050700,57023036,9693976
Sandtuevej (Bygaden / Aalborg),851943100,57017786,9875279
Lindenborgvej (Sofiendalsvej / Aalborg),851103800,57017858,9877832
Bykrogen (Bygaden / Aalborg),851943000,57020762,9873320
Skalborgstien (Sofiendalsvej / Aalborg),851002000,57019467,9884178
Skelagergårdene (Skelagervej / Aalborg),851052700,57023593,9875513
Rungsvej (Sofiendalsvej / Aalborg),851943400,57021031,9886273
Skelagergårdene Nord (Aalborg),851942800,57023989,9878255
Agertoften (Scheelsmindevej / Aalborg),851935200,57017723,9901707
Sælsager (Skelagervej / Aalborg),851899100,57024231,9882614
Hasseris Gymnasium (Hasserisvej / Aalborg),851101900,57025355,9878291
Follingsvej (Sofiendalsvej / Aalborg),851935000,57024025,9888206
Gøteborgvej (Skelagervej / Aalborg),851103700,57023539,9893581
Scheelsminde (Scheelsmindevej / Aalborg),851101500,57020276,9902939
Malurtvej (Kornblomstvej / Aalborg),851103600,57023494,9900413
Mariendal Mølle (Hobrovej / Aalborg),851002800,57022811,9903532
Vester Mariendal Skole (Stjernevej / Aalborg),851102900,57022173,9908081
Over Kæret/Møllen (Aalb),851285700,57023054,9908593
Byplanvejens Skole (Byplanvej / Aalborg),851014900,57018415,9927093
Stjernevej (Over Kæret / Aalborg),851102800,57023243,9909537
Hellevangen (Aalborg),851153200,57017193,9933817
Agervangen (Sohngårdsholmsvej / Aalborg),851961600,57018523,9936873
Østeraadalen (Over Kæret / Aalborg),851951900,57024888,9916135
TH. V. Gardes Vej (Mylius Erichsens Vej),851922500,57020060,9942105
Ivigtutvej (Sohngårdsholmsvej / Aalborg),851961400,57021139,9938932
C.P. Holbølls Plads (Mylius Erichsens Vej/Aalborg),851802100,57021867,9936397
Aalborg Seminarium (Mylius Erichsensvej),851922400,57018514,9947022
Mylius Erichsens Vej (Aalborg),851961000,57022973,9932891
Grønlands Torv,851960500,57022434,9943876
Thulevej (Scoresbysundvej / Aalborg),851900400,57020411,9951795
